FFT
power: 4
N:  1296
N1: 216
N2: 36
N3: 6
0,3,1,1	115->270
0,3,1,2	116->486
0,3,1,3	117->702
0,3,1,4	118->918
0,3,1,5	119->1134
0,3,2,0	120->90
0,3,2,1	121->306
0,3,2,2	122->522
0,3,2,3	123->738
0,3,2,4	124->954
0,3,2,5	125->1170
0,3,3,0	126->126
0,3,3,1	127->342
0,3,3,2	128->558
0,3,3,3	129->774
0,3,3,4	130->990
0,3,3,5	131->1206
0,3,4,0	132->162
0,3,4,1	133->378
0,3,4,2	134->594
0,3,4,3	135->810
0,3,4,4	136->1026
0,3,4,5	137->1242
0,3,5,0	138->198
0,3,5,1	139->414
0,3,5,2	140->630
0,3,5,3	141->846
0,3,5,4	142->1062
0,3,5,5	143->1278
0,4,0,0	144->24
0,4,0,1	145->240
0,4,0,2	146->456
0,4,0,3	147->672
0,4,0,4	148->888
0,4,0,5	149->1104
0,4,1,0	150->60
0,4,1,1	151->276
0,4,1,2	152->492
0,4,1,3	153->708
0,4,1,4	154->924
0,4,1,5	155->1140
0,4,2,0	156->96
0,4,2,1	157->312
0,4,2,2	158->528
0,4,2,3	159->744
0,4,2,4	160->960
0,4,2,5	161->1176
0,4,3,0	162->132
0,4,3,1	163->348
0,4,3,2	164->564
0,4,3,3	165->780
0,4,3,4	166->996
0,4,3,5	167->1212
0,4,4,0	168->168
0,4,4,1	169->384
0,4,4,2	170->600
0,4,4,3	171->816
0,4,4,4	172->1032
0,4,4,5	173->1248
0,4,5,0	174->204
0,4,5,1	175->420
0,4,5,2	176->636
0,4,5,3	177->852
0,4,5,4	178->1068
0,4,5,5	179->1284
0,5,0,0	180->30
0,5,0,1	181->246
0,5,0,2	182->462
0,5,0,3	183->678
0,5,0,4	184->894
0,5,0,5	185->1110
0,5,1,0	186->66
0,5,1,1	187->282
0,5,1,2	188->498
0,5,1,3	189->714
0,5,1,4	190->930
0,5,1,5	191->1146
0,5,2,0	192->102
0,5,2,1	193->318
0,5,2,2	194->534
0,5,2,3	195->750
0,5,2,4	196->966
0,5,2,5	197->1182
0,5,3,0	198->138
0,5,3,1	199->354
0,5,3,2	200->570
0,5,3,3	201->786
0,5,3,4	202->1002
